"PLANT_UNQ","YEAR","CLASS","SEEDS"
"A_1",1994,"A1",71.75
"A_3",1994,"A1",0
"B_13",1994,"A1",71.75
"B_17",1994,"A1",0
"B_4",1994,"A1",71.75
"B_9",1994,"A1",71.75
"B_14",1994,"A2",258.3
"B_19",1994,"A2",258.3
"B_5",1994,"A2",258.3
"A_2",1994,"A3",258.3
"A_7",1994,"A3",258.3
"A_5",1994,"A4",258.3
"B_6",1994,"A4",2597.35
"A_4",1994,"J",0
"A_6",1994,"J",0
"B_1",1994,"J",0
"B_10",1994,"J",0
"B_11",1994,"J",0
"B_12",1994,"J",0
"B_15",1994,"J",0
"B_16",1994,"J",0
"B_18",1994,"J",0
"B_2",1994,"J",0
"B_3",1994,"J",0
"B_7",1994,"J",0
"B_8",1994,"J",0
"A_3",1995,"A1",258.3
"A_4",1995,"A1",71.75
"A_6",1995,"A1",258.3
"B_10",1995,"A1",71.75
"B_11",1995,"A1",0
"B_13",1995,"A1",0
"B_14",1995,"A1",71.75
"B_18",1995,"A1",258.3
"B_3",1995,"A1",258.3
"B_7",1995,"A1",258.3
"C_23",1995,"A1",71.75
"C_3",1995,"A1",71.75
"C_9",1995,"A1",0
"D_10",1995,"A1",0
"D_18",1995,"A1",258.3
"D_26",1995,"A1",0
"D_29",1995,"A1",71.75
"D_6",1995,"A1",0
"D_7",1995,"A1",71.75
"E_1",1995,"A1",71.75
"E_10",1995,"A1",0
"E_2",1995,"A1",0
"E_8",1995,"A1",0
"F_18",1995,"A1",0
"F_2",1995,"A1",71.75
"F_20",1995,"A1",71.75
"G_8",1995,"A1",258.3
"H_12",1995,"A1",0
"H_13",1995,"A1",71.75
"H_2",1995,"A1",0
"I_2",1995,"A1",71.75
"A_1",1995,"A2",258.3
"B_1",1995,"A2",258.3
"B_9",1995,"A2",71.75
"C_26",1995,"A2",258.3
"C_4",1995,"A2",258.3
"D_15",1995,"A2",71.75
"D_8",1995,"A2",258.3
"E_12",1995,"A2",545.3
"E_3",1995,"A2",545.3
"F_13",1995,"A2",258.3
"F_22",1995,"A2",545.3
"F_5",1995,"A2",258.3
"G_9",1995,"A2",545.3
"H_16",1995,"A2",545.3
"I_5",1995,"A2",258.3
"I_8",1995,"A2",545.3
"I_9",1995,"A2",258.3
"A_2",1995,"A3",545.3
"B_4",1995,"A3",545.3
"B_5",1995,"A3",545.3
"C_10",1995,"A3",545.3
"C_17",1995,"A3",545.3
"D_14",1995,"A3",545.3
"D_19",1995,"A3",2597.35
"D_24",1995,"A3",545.3
"D_28",1995,"A3",545.3
"F_11",1995,"A3",2597.35
"F_6",1995,"A3",2597.35
"H_4",1995,"A3",2597.35
"H_9",1995,"A3",258.3
"A_5",1995,"A4",2597.35
"A_7",1995,"A4",545.3
"B_19",1995,"A4",2597.35
"B_6",1995,"A4",545.3
"C_12",1995,"A4",2597.35
"C_18",1995,"A4",2597.35
"D_1",1995,"A4",545.3
"E_11",1995,"A4",2597.35
"E_9",1995,"A4",2597.35
"F_12",1995,"A4",2597.35
"H_3",1995,"A4",2597.35
"B_12",1995,"dead",0
"B_15",1995,"dead",0
"B_17",1995,"dead",0
"B_2",1995,"dead",0
"B_8",1995,"dead",0
"B_16",1995,"J",0
"C_1",1995,"J",0
"C_11",1995,"J",0
"C_13",1995,"J",0
"C_14",1995,"J",0
"C_15",1995,"J",0
"C_16",1995,"J",0
"C_19",1995,"J",0
"C_2",1995,"J",0
"C_20",1995,"J",0
"C_21",1995,"J",0
"C_22",1995,"J",0
"C_24",1995,"J",0
"C_25",1995,"J",0
"C_5",1995,"J",0
"C_6",1995,"J",0
"C_7",1995,"J",0
"C_8",1995,"J",0
"D_11",1995,"J",0
"D_12",1995,"J",0
"D_13",1995,"J",0
"D_16",1995,"J",0
"D_17",1995,"J",0
"D_2",1995,"J",0
"D_20",1995,"J",0
"D_21",1995,"J",0
"D_22",1995,"J",0
"D_23",1995,"J",0
"D_25",1995,"J",0
"D_27",1995,"J",0
"D_3",1995,"J",0
"D_4",1995,"J",0
"D_5",1995,"J",0
"D_9",1995,"J",0
"E_13",1995,"J",0
"E_14",1995,"J",0
"E_4",1995,"J",0
"E_5",1995,"J",0
"E_6",1995,"J",0
"E_7",1995,"J",0
"F_1",1995,"J",0
"F_10",1995,"J",0
"F_14",1995,"J",0
"F_15",1995,"J",0
"F_16",1995,"J",0
"F_17",1995,"J",0
"F_19",1995,"J",0
"F_21",1995,"J",0
"F_3",1995,"J",0
"F_4",1995,"J",0
"F_7",1995,"J",0
"F_8",1995,"J",0
"F_9",1995,"J",0
"G_1",1995,"J",0
"G_10",1995,"J",0
"G_11",1995,"J",0
"G_12",1995,"J",0
"G_2",1995,"J",0
"G_3",1995,"J",0
"G_4",1995,"J",0
"G_5",1995,"J",0
"G_6",1995,"J",0
"G_7",1995,"J",0
"H_1",1995,"J",0
"H_10",1995,"J",0
"H_11",1995,"J",0
"H_14",1995,"J",0
"H_15",1995,"J",0
"H_17",1995,"J",0
"H_18",1995,"J",0
"H_19",1995,"J",0
"H_20",1995,"J",0
"H_5",1995,"J",0
"H_6",1995,"J",0
"H_7",1995,"J",0
"H_8",1995,"J",0
"I_1",1995,"J",0
"I_3",1995,"J",0
"I_4",1995,"J",0
"I_6",1995,"J",0
"I_7",1995,"J",0
"A_3",1996,"A1",71.75
"A_4",1996,"A1",0
"B_1",1996,"A1",71.75
"B_10",1996,"A1",0
"B_13",1996,"A1",0
"B_18",1996,"A1",71.75
"B_4",1996,"A1",0
"B_7",1996,"A1",71.75
"C_15",1996,"A1",71.75
"C_16",1996,"A1",71.75
"C_22",1996,"A1",0
"C_25",1996,"A1",0
"C_26",1996,"A1",258.3
"C_4",1996,"A1",258.3
"C_8",1996,"A1",0
"C_9",1996,"A1",71.75
"D_10",1996,"A1",0
"D_11",1996,"A1",0
"D_15",1996,"A1",0
"D_16",1996,"A1",71.75
"D_26",1996,"A1",0
"D_27",1996,"A1",0
"D_29",1996,"A1",0
"D_4",1996,"A1",0
"D_6",1996,"A1",0
"E_1",1996,"A1",0
"E_10",1996,"A1",71.75
"E_2",1996,"A1",0
"E_3",1996,"A1",258.3
"E_5",1996,"A1",0
"E_8",1996,"A1",0
"F_13",1996,"A1",258.3
"F_15",1996,"A1",71.75
"F_18",1996,"A1",0
"F_2",1996,"A1",71.75
"F_20",1996,"A1",71.75
"F_4",1996,"A1",71.75
"F_5",1996,"A1",258.3
"F_9",1996,"A1",0
"G_1",1996,"A1",71.75
"G_11",1996,"A1",0
"G_8",1996,"A1",71.75
"H_12",1996,"A1",0
"H_13",1996,"A1",71.75
"H_2",1996,"A1",0
"H_8",1996,"A1",0
"I_2",1996,"A1",0
"I_4",1996,"A1",0
"I_5",1996,"A1",71.75
"A_7",1996,"A2",71.75
"B_14",1996,"A2",71.75
"B_9",1996,"A2",258.3
"C_23",1996,"A2",71.75
"D_18",1996,"A2",258.3
"D_24",1996,"A2",258.3
"D_7",1996,"A2",71.75
"D_8",1996,"A2",258.3
"E_12",1996,"A2",258.3
"F_11",1996,"A2",258.3
"F_22",1996,"A2",258.3
"G_9",1996,"A2",258.3
"H_16",1996,"A2",71.75
"I_8",1996,"A2",258.3
"I_9",1996,"A2",258.3
"A_2",1996,"A3",71.75
"B_19",1996,"A3",258.3
"B_5",1996,"A3",545.3
"B_6",1996,"A3",258.3
"C_10",1996,"A3",258.3
"C_17",1996,"A3",258.3
"D_1",1996,"A3",258.3
"D_14",1996,"A3",258.3
"D_19",1996,"A3",545.3
"D_28",1996,"A3",545.3
"E_11",1996,"A3",545.3
"F_6",1996,"A3",545.3
"H_4",1996,"A3",258.3
"H_9",1996,"A3",545.3
"A_5",1996,"A4",258.3
"C_12",1996,"A4",545.3
"C_18",1996,"A4",545.3
"E_9",1996,"A4",258.3
"F_12",1996,"A4",545.3
"H_3",1996,"A4",545.3
"A_1",1996,"dead",0
"A_6",1996,"dead",0
"B_11",1996,"dead",0
"B_16",1996,"dead",0
"B_3",1996,"dead",0
"C_11",1996,"dead",0
"C_13",1996,"dead",0
"C_14",1996,"dead",0
"C_2",1996,"dead",0
"C_21",1996,"dead",0
"C_24",1996,"dead",0
"C_3",1996,"dead",0
"C_6",1996,"dead",0
"C_7",1996,"dead",0
"D_12",1996,"dead",0
"D_13",1996,"dead",0
"D_17",1996,"dead",0
"D_2",1996,"dead",0
"D_20",1996,"dead",0
"D_21",1996,"dead",0
"D_22",1996,"dead",0
"D_23",1996,"dead",0
"D_25",1996,"dead",0
"D_5",1996,"dead",0
"D_9",1996,"dead",0
"E_13",1996,"dead",0
"E_4",1996,"dead",0
"E_6",1996,"dead",0
"F_10",1996,"dead",0
"F_14",1996,"dead",0
"F_16",1996,"dead",0
"F_17",1996,"dead",0
"F_21",1996,"dead",0
"F_3",1996,"dead",0
"F_7",1996,"dead",0
"G_10",1996,"dead",0
"G_2",1996,"dead",0
"G_3",1996,"dead",0
"G_5",1996,"dead",0
"G_6",1996,"dead",0
"G_7",1996,"dead",0
"H_10",1996,"dead",0
"H_14",1996,"dead",0
"H_15",1996,"dead",0
"H_18",1996,"dead",0
"H_20",1996,"dead",0
"H_5",1996,"dead",0
"H_6",1996,"dead",0
"I_1",1996,"dead",0
"I_3",1996,"dead",0
"I_6",1996,"dead",0
"I_7",1996,"dead",0
"C_1",1996,"J",0
"C_19",1996,"J",0
"C_20",1996,"J",0
"C_5",1996,"J",0
"D_3",1996,"J",0
"E_14",1996,"J",0
"E_7",1996,"J",0
"F_1",1996,"J",0
"F_19",1996,"J",0
"F_8",1996,"J",0
"G_12",1996,"J",0
"G_4",1996,"J",0
"H_1",1996,"J",0
"H_17",1996,"J",0
"H_19",1996,"J",0
"H_7",1996,"J",0
"B_1",1997,"A1",71.75
"B_10",1997,"A1",71.75
"C_16",1997,"A1",71.75
"C_22",1997,"A1",0
"C_23",1997,"A1",0
"C_26",1997,"A1",71.75
"C_5",1997,"A1",71.75
"D_10",1997,"A1",71.75
"D_16",1997,"A1",71.75
"D_26",1997,"A1",71.75
"D_4",1997,"A1",71.75
"D_6",1997,"A1",71.75
"E_10",1997,"A1",71.75
"E_12",1997,"A1",71.75
"E_2",1997,"A1",71.75
"E_5",1997,"A1",71.75
"E_7",1997,"A1",71.75
"E_8",1997,"A1",71.75
"F_1",1997,"A1",0
"F_11",1997,"A1",71.75
"F_13",1997,"A1",71.75
"F_15",1997,"A1",0
"F_20",1997,"A1",71.75
"F_5",1997,"A1",71.75
"F_9",1997,"A1",0
"G_1",1997,"A1",71.75
"G_11",1997,"A1",0
"G_12",1997,"A1",0
"G_9",1997,"A1",71.75
"H_11",1997,"A1",71.75
"H_13",1997,"A1",0
"H_16",1997,"A1",71.75
"H_19",1997,"A1",0
"H_2",1997,"A1",0
"H_8",1997,"A1",71.75
"I_5",1997,"A1",71.75
"A_3",1997,"A2",258.3
"B_14",1997,"A2",258.3
"B_7",1997,"A2",258.3
"B_9",1997,"A2",545.3
"C_17",1997,"A2",258.3
"C_4",1997,"A2",71.75
"C_8",1997,"A2",71.75
"C_9",1997,"A2",258.3
"D_14",1997,"A2",258.3
"D_18",1997,"A2",258.3
"D_19",1997,"A2",258.3
"D_24",1997,"A2",258.3
"D_8",1997,"A2",258.3
"E_3",1997,"A2",258.3
"F_22",1997,"A2",71.75
"H_4",1997,"A2",545.3
"H_9",1997,"A2",258.3
"I_8",1997,"A2",258.3
"I_9",1997,"A2",71.75
"A_2",1997,"A3",545.3
"B_19",1997,"A3",545.3
"B_5",1997,"A3",545.3
"D_1",1997,"A3",545.3
"D_28",1997,"A3",2597.35
"E_11",1997,"A3",258.3
"E_9",1997,"A3",545.3
"F_12",1997,"A3",258.3
"F_6",1997,"A3",545.3
"H_3",1997,"A3",258.3
"A_5",1997,"A4",545.3
"B_6",1997,"A4",545.3
"C_12",1997,"A4",545.3
"C_18",1997,"A4",545.3
"A_4",1997,"dead",0
"A_7",1997,"dead",0
"B_13",1997,"dead",0
"B_18",1997,"dead",0
"B_4",1997,"dead",0
"C_1",1997,"dead",0
"C_10",1997,"dead",0
"C_15",1997,"dead",0
"C_19",1997,"dead",0
"C_20",1997,"dead",0
"C_25",1997,"dead",0
"D_11",1997,"dead",0
"D_15",1997,"dead",0
"D_29",1997,"dead",0
"D_3",1997,"dead",0
"D_7",1997,"dead",0
"E_1",1997,"dead",0
"E_14",1997,"dead",0
"F_18",1997,"dead",0
"F_19",1997,"dead",0
"F_2",1997,"dead",0
"F_8",1997,"dead",0
"G_4",1997,"dead",0
"G_8",1997,"dead",0
"H_1",1997,"dead",0
"H_12",1997,"dead",0
"H_17",1997,"dead",0
"H_7",1997,"dead",0
"I_2",1997,"dead",0
"I_4",1997,"dead",0
"D_27",1997,"J",0
"F_4",1997,"J",0
"D_10",1998,"A1",258.3
"E_12",1998,"A1",0
"E_5",1998,"A1",258.3
"F_1",1998,"A1",258.3
"F_13",1998,"A1",258.3
"F_15",1998,"A1",71.75
"G_11",1998,"A1",71.75
"G_12",1998,"A1",71.75
"H_11",1998,"A1",71.75
"H_19",1998,"A1",258.3
"B_10",1998,"A2",258.3
"B_14",1998,"A2",258.3
"C_22",1998,"A2",258.3
"C_26",1998,"A2",71.75
"C_5",1998,"A2",258.3
"C_9",1998,"A2",258.3
"D_16",1998,"A2",258.3
"D_19",1998,"A2",258.3
"D_24",1998,"A2",258.3
"D_26",1998,"A2",258.3
"D_6",1998,"A2",258.3
"E_10",1998,"A2",545.3
"E_2",1998,"A2",258.3
"E_8",1998,"A2",258.3
"F_20",1998,"A2",258.3
"F_5",1998,"A2",258.3
"G_1",1998,"A2",258.3
"G_9",1998,"A2",545.3
"H_16",1998,"A2",545.3
"H_8",1998,"A2",258.3
"I_5",1998,"A2",258.3
"I_9",1998,"A2",71.75
"B_1",1998,"A3",545.3
"B_7",1998,"A3",545.3
"C_16",1998,"A3",258.3
"C_23",1998,"A3",258.3
"D_18",1998,"A3",545.3
"D_4",1998,"A3",258.3
"D_8",1998,"A3",2597.35
"E_3",1998,"A3",545.3
"F_12",1998,"A3",545.3
"F_22",1998,"A3",545.3
"H_4",1998,"A3",545.3
"H_9",1998,"A3",2597.35
"I_8",1998,"A3",545.3
"A_2",1998,"A4",2597.35
"A_3",1998,"A4",545.3
"A_5",1998,"A4",2597.35
"B_19",1998,"A4",545.3
"B_5",1998,"A4",2597.35
"B_6",1998,"A4",2597.35
"B_9",1998,"A4",2597.35
"C_12",1998,"A4",2597.35
"C_18",1998,"A4",545.3
"C_4",1998,"A4",545.3
"D_1",1998,"A4",2597.35
"D_14",1998,"A4",2597.35
"D_28",1998,"A4",2597.35
"E_11",1998,"A4",545.3
"E_9",1998,"A4",2597.35
"F_6",1998,"A4",2597.35
"H_3",1998,"A4",2597.35
"C_17",1998,"dead",0
"C_8",1998,"dead",0
"D_27",1998,"dead",0
"E_7",1998,"dead",0
"F_11",1998,"dead",0
"F_4",1998,"dead",0
"F_9",1998,"dead",0
"H_13",1998,"dead",0
"H_2",1998,"dead",0
"C_22",1999,"A1",71.75
"D_10",1999,"A1",0
"G_1",1999,"A1",258.3
"G_11",1999,"A1",0
"G_12",1999,"A1",258.3
"H_11",1999,"A1",258.3
"H_3",1999,"A1",0
"I_9",1999,"A1",0
"A_3",1999,"A2",258.3
"B_19",1999,"A2",71.75
"C_9",1999,"A2",71.75
"D_26",1999,"A2",258.3
"E_10",1999,"A2",545.3
"E_2",1999,"A2",258.3
"E_5",1999,"A2",258.3
"E_8",1999,"A2",258.3
"F_1",1999,"A2",545.3
"F_13",1999,"A2",258.3
"F_15",1999,"A2",258.3
"F_20",1999,"A2",545.3
"F_5",1999,"A2",258.3
"H_16",1999,"A2",258.3
"H_19",1999,"A2",71.75
"H_8",1999,"A2",258.3
"A_2",1999,"A3",545.3
"B_10",1999,"A3",545.3
"B_14",1999,"A3",258.3
"B_7",1999,"A3",71.75
"C_16",1999,"A3",545.3
"C_18",1999,"A3",258.3
"C_23",1999,"A3",545.3
"C_26",1999,"A3",258.3
"C_5",1999,"A3",545.3
"D_16",1999,"A3",545.3
"D_18",1999,"A3",258.3
"D_24",1999,"A3",545.3
"D_4",1999,"A3",545.3
"D_6",1999,"A3",545.3
"E_11",1999,"A3",258.3
"E_3",1999,"A3",545.3
"E_9",1999,"A3",545.3
"F_22",1999,"A3",2597.35
"F_6",1999,"A3",2597.35
"G_9",1999,"A3",545.3
"H_4",1999,"A3",2597.35
"H_9",1999,"A3",545.3
"I_5",1999,"A3",545.3
"I_8",1999,"A3",2597.35
"A_5",1999,"A4",2597.35
"B_5",1999,"A4",545.3
"B_6",1999,"A4",545.3
"B_9",1999,"A4",2597.35
"C_12",1999,"A4",545.3
"C_4",1999,"A4",2597.35
"D_1",1999,"A4",545.3
"D_14",1999,"A4",2597.35
"D_28",1999,"A4",2597.35
"D_8",1999,"A4",2597.35
"F_12",1999,"A4",2597.35
"B_1",1999,"dead",0
"D_19",1999,"dead",0
"E_12",1999,"dead",0
"C_12",2000,"A1",71.75
"E_8",2000,"A1",71.75
"F_13",2000,"A1",71.75
"G_12",2000,"A1",0
"H_11",2000,"A1",258.3
"H_19",2000,"A1",0
"B_14",2000,"A2",545.3
"B_5",2000,"A2",258.3
"B_6",2000,"A2",258.3
"B_7",2000,"A2",0
"C_18",2000,"A2",258.3
"C_23",2000,"A2",71.75
"D_18",2000,"A2",258.3
"D_26",2000,"A2",258.3
"E_11",2000,"A2",545.3
"F_1",2000,"A2",258.3
"F_20",2000,"A2",258.3
"F_22",2000,"A2",71.75
"F_5",2000,"A2",71.75
"G_9",2000,"A2",258.3
"H_16",2000,"A2",258.3
"H_8",2000,"A2",545.3
"H_9",2000,"A2",258.3
"B_10",2000,"A3",258.3
"B_9",2000,"A3",258.3
"C_16",2000,"A3",258.3
"C_5",2000,"A3",258.3
"D_1",2000,"A3",258.3
"D_14",2000,"A3",258.3
"D_16",2000,"A3",258.3
"D_24",2000,"A3",258.3
"D_4",2000,"A3",258.3
"D_8",2000,"A3",258.3
"E_2",2000,"A3",258.3
"E_3",2000,"A3",545.3
"E_9",2000,"A3",545.3
"F_6",2000,"A3",545.3
"H_4",2000,"A3",545.3
"I_5",2000,"A3",258.3
"I_8",2000,"A3",2597.35
"A_2",2000,"A4",545.3
"A_5",2000,"A4",545.3
"C_26",2000,"A4",545.3
"C_4",2000,"A4",258.3
"D_28",2000,"A4",545.3
"D_6",2000,"A4",545.3
"E_10",2000,"A4",2597.35
"F_12",2000,"A4",545.3
